paperid,institutionid,authorids,year
W3160923389,I172901346,['A5077585209' 'A5057431823' 'A5081868285'],2020
W2273086981,I172901346,['A5041206304'],2015
W2289351578,I172901346,['A5032560113'],2016
W2298853472,I172901346,['A5005647628'],2016
W4200001935,I172901346,['A5024971709'],2021
W4206314128,I172901346,['A5050889083' 'A5050495851'],2021
W4256122839,I172901346,['A5024536041'],2021
W2949539963,I172901346,['A5014120737'],2016
W2770086880,I172901346,['A5029547088'],2018
W2789913623,I172901346,['A5026394442'],2018
W2134320384,I172901346,['A5026485538' 'A5057732267' 'A5044188995'],2015
W3014941756,I172901346,['A5048292275' 'A5032869041'],2020
W3016303061,I172901346,['A5055709571' 'A5103575600'],2020
W2903206808,I172901346,['A5049594963'],2018
W2938207876,I172901346,['A5031215099'],2019
W2960019322,I172901346,['A5002887494'],2019
W2964075292,I172901346,['A5072894139'],2015
W3121506455,I172901346,['A5043170607'],2021
W3127624831,I172901346,['A5045172496' 'A5012913220'],2018
W3132750062,I172901346,['A5089374872'],2019
W3133706059,I172901346,['A5012913220' 'A5045172496'],2019
W3137076029,I172901346,['A5045172496' 'A5012913220'],2017
W3143657274,I172901346,['A5025927694'],2021
W3152769298,I172901346,['A5045172496' 'A5012913220'],2018
W3155044363,I172901346,['A5045172496' 'A5012913220'],2019
W3155782513,I172901346,['A5045172496' 'A5012913220'],2019
W3161943008,I172901346,['A5002457808' 'A5112504009'],2021
W3165280951,I172901346,['A5090546466'],2021
W3174149283,I172901346,['A5029007269'],2019
